epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,168.476,0.74878,0.91817,1.10523,0.96554,0.35176,0.53244,0.29931,1.88206,2.07937,1.58022,1.43596e-05,1.43596e-05,1.43596e-05
89,170.365,0.7116,1.02781,1.15746,0.96554,0.35176,0.53244,0.29931,1.88206,2.07937,1.58022,1.34879e-05,1.34879e-05,1.34879e-05
90,171.988,0.68824,0.7352,1.09872,0.96554,0.35176,0.53244,0.29931,1.88206,2.07937,1.58022,1.25927e-05,1.25927e-05,1.25927e-05
91,173.81,0.57696,0.69998,1.00582,0.96554,0.35176,0.53244,0.29931,1.88206,2.07937,1.58022,1.16739e-05,1.16739e-05,1.16739e-05
92,175.397,0.59618,0.82894,1.07505,0.96638,0.35176,0.53155,0.30297,1.88531,2.06301,1.57124,1.07315e-05,1.07315e-05,1.07315e-05
93,176.925,0.74205,0.84421,1.20512,0.96638,0.35176,0.53155,0.30297,1.88531,2.06301,1.57124,9.76562e-06,9.76562e-06,9.76562e-06
94,178.467,0.63027,0.64187,1.05539,0.96638,0.35176,0.53155,0.30297,1.88531,2.06301,1.57124,8.77613e-06,8.77613e-06,8.77613e-06
95,180.55,0.68035,0.77685,1.00286,0.96638,0.35176,0.53155,0.30297,1.88531,2.06301,1.57124,7.76308e-06,7.76308e-06,7.76308e-06
96,184.06,0.6092,0.75131,1.06199,0.96733,0.35177,0.53039,0.32854,1.8649,2.04356,1.54689,6.72648e-06,6.72648e-06,6.72648e-06
97,185.855,0.66917,0.67006,1.03874,0.96733,0.35177,0.53039,0.32854,1.8649,2.04356,1.54689,5.6663e-06,5.6663e-06,5.6663e-06
98,187.993,0.6507,0.67855,1.03392,0.96733,0.35177,0.53039,0.32854,1.8649,2.04356,1.54689,4.58257e-06,4.58257e-06,4.58257e-06
99,189.889,0.62143,0.64808,1.07919,0.96733,0.35177,0.53039,0.32854,1.8649,2.04356,1.54689,3.47528e-06,3.47528e-06,3.47528e-06
100,191.758,0.76593,0.88301,1.22427,0.9665,0.35182,0.65454,0.4201,1.84893,1.98355,1.53577,2.34442e-06,2.34442e-06,2.34442e-06
